,mean,std,coefficient_of_variation
branch_point_count,5.794831223628692,6.516599034727783,1.1245537243873556
endpoint_count,7.589662447257384,6.551632050452806,0.8632310192952412
connected_components,2.2415611814345993,1.870668608887198,0.8345382782235593
crack_coverage_percent,6.367936339662447,5.191323805566432,0.8152285966228134
crack_area_pixels,14749.533755274262,11934.593849628407,0.8091505838522343
branch_density,0.006875129219409282,0.0053340458253748205,0.7758466284991697
dominant_orientation_degrees,89.1829799578059,67.95597031270727,0.7619836245083813
endpoint_density,0.01071009229957806,0.0069207766798741605,0.6461920669112081
average_width_pixels,15.746877637130803,8.817058703281036,0.5599242533320129
maximum_width_pixels,51.33058544303797,28.59283812619694,0.5570331582897429
skeleton_length_pixels,719.6956592827004,398.48022442900464,0.5536787936530814
graph_edges,631.414029535865,345.48120086533396,0.5471547743709269
graph_nodes,624.4472573839662,337.8377205833275,0.5410188235891227
