image,endpoint_count,branch_point_count,connected_components,graph_nodes,graph_edges,skeleton_length_pixels,branch_density,endpoint_density,average_width_pixels,maximum_width_pixels,crack_coverage_percent,crack_area_pixels,dominant_orientation_degrees,CSI,severity
crack1,229,131,49,4292,4449,5177.19,0.025303,0.044233,3.58,14.0,9.4106,21682,9.75,35.0,Moderate
crack2,170,68,49,3576,3610,4202.33,0.016182,0.040454,4.7,18.0,11.2895,26011,177.5,60.0,Moderate
