,CSI_A_equal,CSI_B_extent,CSI_C_width,CSI_D_extent_width
CSI_A_equal,1.0,0.9964139384476115,0.9954627882872362,0.9919313148506166
CSI_B_extent,0.9964139384476115,1.0,0.998863936888976,0.9970019742015227
CSI_C_width,0.9954627882872362,0.998863936888976,1.0,0.9989557287291221
CSI_D_extent_width,0.9919313148506166,0.9970019742015227,0.9989557287291221,1.0
