scheme,mean_absolute_difference,median_absolute_difference,maximum_absolute_difference
B_extent,1.4801012462494534,1.1990942814876018,5.0
C_width,1.562464359052708,1.286118723963133,5.000000000000007
D_extent_width,2.2375795853310207,1.8603522777390848,8.379857995249381
