crack_coverage_percent,skeleton_length_pixels,maximum_width_pixels,branch_density
0.12507723562575884,0.29213765202807174,0.12582128777923784,0.28451486841301826
0.023200740500318562,0.06219007738287972,0.06950441148864275,0.13485375831959456
0.040095207183814784,0.16278418289572774,0.05256241787122207,0.12142028454539903
0.06171637395266088,0.31246020802788255,0.06950441148864275,0.26714294437320635
0.020810944017695072,0.11672190550338893,0.037497653463487886,0.16227025706783907
0.05685263322394124,0.19034660399393158,0.0976628496339403,0.21105819136594003
0.23741930830538427,0.2682642878191998,0.18561103810775298,0.15402698907003726
0.30186687823818625,0.253835491346724,0.6023559226581565,0.12160346827868354
0.046459182324161234,0.12185529728923443,0.2100150178336775,0.0
0.268746318535348,0.2913700080402522,0.24399286652900318,0.07131953349209257
0.2749227643742411,0.26145372125427935,0.47268631499906133,0.19719728888074742
0.06437784750021036,0.044665238096970525,0.4219072648770415,0.0
0.07872383906139181,0.35495348659533515,0.08827670358550778,0.11842828356841913
0.06217558031904024,0.2500991388562468,0.06011826544021024,0.08218843500030532
0.0025701131186363253,0.06342340113582204,0.007508916838746005,0.0
0.03750586029067042,0.23523376760396844,0.061901633189412414,0.13045734872076692
0.048370538665897314,0.1968442919666602,0.0976628496339403,0.15353849911461195
0.0754685227259067,0.24228808842094537,0.05439271635066641,0.08463088477743178
0.013610299686249055,0.06180443632738743,0.06565609160878542,0.27098980277218054
0.008518157885246494,0.07664797884067566,0.022573681246480192,0.0
0.07248488345534759,0.2772759188989584,0.05439271635066641,0.07467790193564144
0.05083246180292594,0.1765799459374898,0.1633658719729679,0.16935336142150578
0.018108598699316,0.07653155889939497,0.06950441148864275,0.1148562007693717
0.062416002500390685,0.2576227775615116,0.05073211939177773,0.03999511510044575
0.008571050765143593,0.06797469321526411,0.028111507415055373,0.12599987787751113
0.050236214793176824,0.3458836455449362,0.03195982729491271,0.09104231544238872
0.04925529229326698,0.25942364852819727,0.03195982729491271,0.11919154912377114
0.004938271604938272,0.07454514365129317,0.04876102872160689,0.11726811992428406
0.06542127976727133,0.24989904208217065,0.08996620987422563,0.20562374061183367
0.09726760190895213,0.25717165028904887,0.12765158625868217,0.04005617634487391
0.002788897303665236,0.04914012958994714,0.05073211939177773,0.0
0.02649692860663325,0.18404173654894915,0.03379012577435705,0.271936252060817
0.05748975200451995,0.3096261100823307,0.03195982729491271,0.3031080173413934
0.041054491687403084,0.23462983915857485,0.061901633189412414,0.17436038346461502
0.024097515236755743,0.12499135945748308,0.041345973343345215,0.1530194785369726
0.011533052039381155,0.07380660464879377,0.015017833677492022,0.11818403859070647
0.01040787623066104,0.07454878177445819,0.016895062887178517,0.11726811992428406
0.003541418731292149,0.04502905041347269,0.015017833677492022,0.0
