feature,original_min,original_median,original_max,minmax_mean,minmax_median,minmax_std,robust_mean,robust_median,robust_std,minmax_at_zero,minmax_at_one,robust_at_zero,robust_at_one
crack_coverage_percent,0.3549,4.974399999999999,41.9484,0.14456673133211795,0.11106302667484103,0.12481093934308081,0.3391965514899058,0.26389539795516914,0.2868345591372111,1,1,95,95
skeleton_length_pixels,55.46,692.405,2804.13,0.2416571139069806,0.23172843593447012,0.14497201352981792,0.4191490275627352,0.4067474231260628,0.2770460818183985,1,1,95,95
maximum_width_pixels,7.19,46.0,220.27,0.2071549908158343,0.18213816406983294,0.13418827729583696,0.38006241209563996,0.3333333333333333,0.27222895493956784,1,1,98,96
branch_density,0.0,0.006078500000000001,0.032754,0.2099019728707725,0.1855803871282897,0.16285173796711302,0.3991040194509352,0.363334777865778,0.28714958726851053,257,1,257,95
