crack_coverage_percent,skeleton_length_pixels,maximum_width_pixels,branch_density
0.3004409097819902,0.5343528756280082,0.2,0.5570316352605388
0.034772781775520026,0.04862294546537432,0.06666666666666667,0.26402068171969095
0.07882927716187643,0.2611129789911527,0.02655555555555556,0.2377202289334867
0.13521181067681923,0.577281241894735,0.06666666666666667,0.5230203679074702
0.028540797085888844,0.1638132931152077,0.0,0.31769751490608045
0.12252840521693606,0.3193344796779989,0.13333333333333333,0.41321597752506756
0.5934006166153866,0.48392395700246893,0.34155555555555556,0.30155860069636425
0.7614635759617177,0.453445278052623,1.0,0.23807887147148046
0.09542491445911357,0.17465681706836764,0.3993333333333333,0.0
0.6750935346293645,0.5327313422799452,0.47977777777777775,0.13963149479221146
0.6912001429469324,0.46953765165851746,1.0,0.38607869215021146
0.14215226042674048,0.01160433817808048,0.901,0.0
0.1795629773714379,0.667041950451013,0.1111111111111111,0.23186240081292306
0.13640930471677853,0.44555279109309415,0.044444444444444446,0.16091095204650396
0.0,0.051228157811314234,0.0,0.0
0.07207691548105874,0.41415191308273863,0.04866666666666666,0.25541326080784227
0.10040924829035781,0.3330598756952517,0.13333333333333333,0.3006022205950477
0.171073935852564,0.42905311290214126,0.030888888888888903,0.16569285255308655
0.009763338187050457,0.047808336295257416,0.057555555555555554,0.5305518612053377
0.0,0.07916310435258746,0.0,0.0
0.16329335939398024,0.5029596826098235,0.030888888888888903,0.1462066079887625
0.10682932104909254,0.2902544693032595,0.28888888888888886,0.33156502637516994
0.021493764096808938,0.0789171846031182,0.06666666666666667,0.22486887132204605
0.13703626494712373,0.46144535490254485,0.022222222222222223,0.07830362079528982
0.0,0.06084208301712795,0.0,0.24668629238332906
0.10527445967783647,0.6478832649689239,0.0,0.17824534138286582
0.10271646193802811,0.4652494260271473,0.0,0.2333567447212301
0.0,0.07472117887779904,0.017555555555555536,0.22959099807229633
0.14487326782643858,0.4451301165236939,0.11511111111111111,0.4025762488979213
0.22792041993796225,0.46049241587335143,0.20433333333333334,0.07842316830795439
0.0,0.02105687854830499,0.022222222222222223,0.0
0.04336840653355256,0.30601638824580457,0.0,0.5324048476516385
0.12418984982735083,0.5712946329935927,0.0,0.5934338528668986
0.08133084848095373,0.4128762043823669,0.04866666666666666,0.34136792241366426
0.037111343434707574,0.1812812803196957,0.0,0.2995860667373989
0.004346401796868024,0.07316112546710343,0.0,0.23138421076226479
0.0014122279188525384,0.07472886386996995,0.0,0.22959099807229633
0.0,0.012372837395171902,0.0,0.0
0.16609587162362321,0.5906838682408093,0.03977777777777776,0.8981006888925417
0.0,0.08524193315978063,0.0,0.0
0.0,0.1222298004783908,0.0,0.0
0.0,0.09268869057339651,0.0,0.21064271731496284
0.0,0.13623954120596746,0.0,0.17561529610424542
0.0,0.0604424634242404,0.0,0.7416727685709589
0.16146890512367573,0.8981219800382331,0.0,0.2692807722769318
0.25987031327635307,0.43503972180328354,0.18655555555555556,0.32785905348256844
0.0052743029377789056,0.09029097301607127,0.013222222222222236,0.21303366756825412
0.19472287574118455,0.32683503203681114,0.10222222222222221,0.20317099777342756
0.10533088609856754,0.5765742226150108,0.13333333333333333,0.5889508211419776
0.26193301243418876,0.6484980643425972,0.11511111111111111,0.5342578340979393
0.12595787767692426,0.6737432636240502,0.0,0.6323465682392145
0.12808327285779442,0.8519582320675512,0.0,0.2820125823757079
0.1618764292734001,0.7285756827635234,0.0,0.32277828419432447
0.117713350647885,0.6507497670486749,0.013111111111111108,0.3551158863700892
0.05008942020285298,0.22678411896367887,0.013111111111111108,0.2609124463904123
0.064810446411358,0.30076753859307015,0.013111111111111108,0.3233760217576473
0.0,0.06323211558228227,0.0,0.0
0.11893592309705814,0.2952266592378409,0.09766666666666665,0.21841330563815956
0.00018338586737597182,0.027750506729171287,0.008888888888888898,0.3000044830317249
0.09564435053973437,0.2588766462694167,0.06199999999999998,0.11954751266456462
0.012427919166017506,0.09364162960258988,0.0,0.2097461109699786
0.23173233813846103,0.42268225439245344,0.06666666666666667,0.0
0.10639044888785092,0.5719555423202913,0.0,0.3293533973908755
0.0013558014981214775,0.06684406190261197,0.0,0.23897547781646464
0.15795792783374266,0.49615077954639347,0.09322222222222223,0.3695213616461692
0.013901275707328697,0.12256794013391102,0.0,0.0
0.07188882741195518,0.36225516095255483,0.013111111111111108,0.4710171998983846
0.08309887633052716,0.16670285017147143,0.537,0.9436482912177407
0.0829609450798512,0.48444653647009106,0.0,0.2260045726923594
0.2942089250923591,0.2321021335459515,0.34155555555555556,0.5139945307012956
0.1375754507452206,0.40777336958087984,0.06199999999999998,0.2584617223807887
0.07773836636107578,0.28277697192095996,0.16444444444444445,0.5627699158684379
0.0647853680021442,0.18500850152258913,0.13733333333333334,0.295999641357462
0.11355033471839297,0.2015158647057129,0.20422222222222225,0.4215843034115871
0.07384494333063218,0.2163325296112355,0.11077777777777777,0.2688623559826058
0.04393894034316668,0.2724022324902257,0.022222222222222223,0.46193158893587766
0.00018338586737597182,0.1187715540014794,0.08888888888888889,0.18816778493402472
0.08092332433122935,0.24854801679170796,0.05766666666666668,0.4914000508076928
0.0524844082827716,0.30583194843370265,0.022222222222222223,0.10651683378412706
0.04769443212293436,0.26702273797058573,0.008888888888888898,0.23413380355354982
0.016672439925454426,0.21965244622907046,0.0,0.0
0.0,0.1101951027387391,0.0,0.1949819931559049
0.03713642184392138,0.2878029568007378,0.0,0.4447167471121804
0.0,0.02458428995475462,0.0,0.0
0.05585745432202871,0.330708268090952,0.0,0.1007187794198957
0.008923211478387899,0.1318129857155208,0.0,0.17860398392085955
0.039938934073564386,0.2051047560495298,0.05322222222222221,0.13897398347255635
0.012540772007479642,0.21783878807673468,0.0,0.0
0.08100482916117424,0.20846309762821932,0.044444444444444446,0.41279756123074157
0.03077277550591772,0.3254517334460466,0.0,0.0
0.028214777766109356,0.2493395709853121,0.0,0.12259597423751101
0.03781980849499764,0.18882794263153346,0.0,0.1462066079887625
0.03795773974567358,0.19572138060884356,0.0,0.2861369715626354
0.05803927592362997,0.1664415604376603,0.14622222222222223,0.0
0.06040291599203133,0.26334162672071787,0.008888888888888898,0.23634543253784424
0.05316779493384785,0.24258446286707852,0.09322222222222223,0.37454235717808093
0.019399716927456002,0.11462934322135664,0.08855555555555554,0.19139556777596795
0.0,0.004979874926752433,0.06666666666666667,0.704852134670273
0.06600794045131732,0.3847645030211626,0.05766666666666668,0.4502159326947503
0.022308812396257677,0.24800238234757302,0.017555555555555536,0.24608855482000624
0.03000788402489659,0.25306679218820555,0.0,0.2428009982217307
0.07450325157249463,0.3104813686971057,0.044444444444444446,0.4215843034115871
0.08587631015095633,0.19738902390993196,0.14622222222222223,0.4269639414814925
0.017054885665965004,0.19081835560380028,0.022222222222222223,0.14531000164377827
0.0,0.07040989826991616,0.0,0.4692837609647484
0.023832325755996482,0.17185947991815487,0.0,0.0
0.04497342472323624,0.25772389744377955,0.044333333333333315,0.5995307760127916
0.0,0.035827433500802135,0.017555555555555536,0.5699427666283118
0.01659093509550956,0.1976272586672303,0.0,0.2844633063853315
0.0,0.06856550014889674,0.0,0.2368833963448348
0.014446731107729014,0.2329090577238975,0.0,0.3846441219982366
0.0,0.2058502002901085,0.0,0.2773502293817899
0.013054879396362695,0.21706260386747234,0.0,0.6707213198045398
0.0,0.15483722225957988,0.0,0.32785905348256844
0.0019263353077355989,0.15111000105668645,0.044333333333333315,0.1661710426037448
0.21989532898954384,0.33661802707038496,0.5555555555555556,0.09940375678058547
0.2708358477050904,0.3807913620688,0.5151111111111111,0.18153289798114136
0.26040949907444993,0.43288792399542747,0.3814444444444444,0.8228455296701982
0.7490246849916692,0.8408764733570928,0.4348888888888889,0.2377202289334867
0.08467881611099702,0.5883706855973642,0.0,0.19306923295327183
0.11363183954833785,0.6783619439187697,0.0,0.05714371105366189
0.28329981708435276,1.0,0.15955555555555556,0.43598977868766714
0.2706979164544145,0.9809892506172011,0.1862222222222222,0.3321627639384928
0.1620958653540209,0.6877299493751142,0.044444444444444446,0.39546317189437974
0.24383894018642657,1.0,0.06666666666666667,0.16270416473647245
0.07164431292212056,0.06934936935033,0.2926666666666667,0.4718540324870365
0.09907382299972256,0.34992074851823757,0.13333333333333333,0.48327081994650245
0.1577949181738529,0.39998847251174374,0.23955555555555558,0.8743705076286256
0.0582837904134646,0.19785780843235767,0.008888888888888898,0.42636620391816965
0.0,0.0,0.08855555555555554,1.0
0.15703629629513524,0.28782601177725053,0.20844444444444443,0.6670153469119383
0.033004753925946595,0.019681264949711348,0.45311111111111113,0.31668136104843164
0.01629626378724731,0.07376823984860567,0.35555555555555557,0.23066692568627742
0.10375094631809768,0.10065802745463456,0.24433333333333335,0.20323077152975982
0.15801435425447374,0.1947300166187956,0.26666666666666666,0.14351678895380982
0.2636508834653346,0.20598084515701406,0.37777777777777777,0.0
0.11493591682745584,0.16403615788816417,0.3592222222222222,0.0
0.09673526134053499,0.05931276957511601,0.3111111111111111,0.24871860009862667
0.30231552087072233,0.30434874494471614,0.4755555555555555,0.2138107264005738
0.2311868827380607,0.28578948885195826,0.23066666666666663,0.11171715058503563
0.07235277798241063,0.021356593242970633,0.26666666666666666,0.31309493566849467
0.41533137199274606,0.31599919307582214,0.5333333333333333,0.41632421285434623
0.3379644795681498,0.36742716068358017,0.33266666666666667,0.09318728612202812
0.005029788447944282,0.2244786213124046,0.0,0.39390905422974043
0.08081674109207067,0.16947713234517148,0.2222222222222222,0.6232011835203753
0.0005909100171003482,0.0,0.1111111111111111,0.0
0.020923230287194807,0.14848941872640473,0.06666666666666667,0.16772516026838413
0.01678529276691656,0.05772966118790768,0.013222222222222236,0.0
0.11640927336876702,0.2164862294546538,0.06199999999999998,0.13437140423497063
0.0953434096291687,0.18191144967771067,0.08888888888888889,0.0
0.000647336437831409,0.060903562954495255,0.0,0.0
0.0,0.034905234440292435,0.0,0.28661516161329365
0.020703794206573988,0.0906367976637624,0.0,0.0
0.004540759468275033,0.12901564856530806,0.0,0.18057651787982484
0.060133323092982895,0.27812755165755676,0.040000000000000015,0.7969037194219877
0.29967601830096907,0.2232874475259129,0.45755555555555555,0.5270252095817332
0.1033434221683733,0.24253066792188213,0.151,0.7491444881124942
0.2112370082084768,0.27386238100269944,0.2932222222222222,0.2301289618792869
0.23189534779835078,0.4760622100116237,0.2486666666666667,0.30550366861429484
0.04823988752333467,0.21999058588459067,0.00433333333333334,0.13299660783932812
0.012346414336072633,0.08849268484807732,0.008888888888888898,0.2148268802582226
0.3843093797952661,0.5024217331578594,0.7321111111111112,0.3658751625099
0.07830890017068992,0.12614146149338612,0.5056666666666666,0.18266859935145474
0.272328013053312,0.5356900642657472,0.2262222222222222,0.7643867959772261
0.041982824424489695,0.13166697086427345,0.13333333333333333,0.5361705943005723
0.3045788473022685,0.6491743436536376,0.17733333333333334,0.17794647260120441
0.02832136100526804,0.031147273268715366,0.08877777777777776,0.0
0.34677954040680314,0.9620150049472139,0.17733333333333334,0.2957007725758006
0.04707374149489262,0.3261894926944544,0.0,0.20346986655508897
0.013136384226307567,0.17077589602205598,0.0,0.0
0.04516778239464325,0.19693560937184798,0.0,0.2850610439486543
0.15629648322332793,0.5237936963851719,0.044444444444444446,0.07077212749742225
0.0,0.03476690458121597,0.030888888888888903,0.0
0.04753142246304462,0.17574040096446655,0.008888888888888898,0.15254262615998446
0.14843440193479926,0.4795896214180733,0.022222222222222223,0.45559557076465573
0.06778223790319421,0.18679141970624122,0.07977777777777778,0.0
0.006446718568524404,0.07653483703013482,0.0,0.0
0.13101744673580992,0.39986551263700915,0.03533333333333333,0.08744900551412901
0.027644243956495226,0.32774954610515,0.0,0.30412887221865237
0.08878540561975802,0.5469716327726493,0.0,0.13664280697559733
